"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2017-2018","Háskóli Íslands","Háskóli Íslands","Moodle Direct",255,404,5623,8026,840,5904,898,116,136,1066,416,8201,737,14,2253,4068,313,0,295,521,0,"Háskólar"
"2018-2019","Háskóli Íslands","Háskóli Íslands","Moodle Direct",559,1304,11737,22253,3171,14693,2809,807,520,2622,792,29506,1731,40,2939,7331,1497,14036,689,1243,173,"Háskólar"
"2019-2020","Háskóli Íslands","Háskóli Íslands","Moodle Direct",589,1428,17241,35078,4415,22182,5929,1154,540,5784,1950,61048,3151,50,6757,14807,2656,27698,1732,4197,3,"Háskólar"
"2012-2013","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",49,64,308,221,6,143,18,7,29,25,0,708,19,0,277,265,73,0,74,0,0,"Háskólar"
"2013-2014","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",93,169,671,619,7,469,72,18,28,47,0,87,0,0,1,86,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",200,301,2546,2584,250,1744,312,77,141,951,0,2964,540,0,410,2014,0,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",184,323,2004,1959,255,1373,217,36,61,513,1,3961,42,0,876,3018,25,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",237,359,3057,3463,280,2354,429,154,171,943,0,5995,318,0,2651,3026,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",298,520,3638,4116,276,2726,529,258,228,433,4,3595,72,0,1111,2116,75,0,221,0,0,"Háskólar"
"2018-2019","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",365,582,4426,5040,341,3310,848,310,146,786,255,7545,361,0,3017,3336,394,0,185,252,1,"Háskólar"
"2019-2020","Háskólinn á Akureyri","Háskólinn á Akureyri","Moodle Direct",355,606,5839,8483,583,4910,2072,616,257,1172,283,8326,673,0,3190,3165,265,0,203,830,0,"Háskólar"
"2018-2019","Keilir - Center of Excellence","healthacademy","Moodle Direct",1,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2019-2020","Keilir - Center of Excellence","healthacademy","Moodle Direct",0,0,14,14,0,9,4,1,0,2,0,11,0,0,0,11,0,0,0,0,0,""
"2013-2014","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",3,1,106,105,64,37,1,0,0,47,43,38,22,4,2,10,0,0,0,0,0,""
"2014-2015","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",39,30,352,343,283,37,9,4,3,256,252,316,52,0,21,229,14,0,0,0,0,""
"2015-2016","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",55,78,389,378,260,74,10,17,15,195,192,123,7,0,6,110,0,0,0,0,0,""
"2016-2017","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",31,35,157,231,161,59,5,4,2,110,108,78,13,0,2,63,0,0,0,0,0,""
"2017-2018","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",10,12,9,36,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2018-2019","Hólabrekkuskóli","Hólabrekkuskóli","Moodle Direct",0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2017-2018","Keilir - Center of Excellence","Keilir - Center of Excellence","Moodle Direct",20,27,1521,1742,518,938,184,59,24,765,652,2158,311,0,707,643,447,0,43,7,0,""
"2018-2019","Keilir - Center of Excellence","Keilir - Center of Excellence","Moodle Direct",12,16,3911,5003,1880,2575,324,109,94,3153,2293,22925,1500,0,2060,4664,3596,8693,2412,0,0,""
"2019-2020","Keilir - Center of Excellence","Keilir - Center of Excellence","Moodle Direct",10,50,3848,6242,1486,3785,772,129,53,3454,2330,30871,2215,0,807,5616,8536,12009,1688,0,0,""
"2012-2013","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Moodle Direct",7,4,25,25,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2013-2014","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Moodle Direct",29,38,127,118,0,87,14,4,5,3,0,3,0,0,0,3,0,0,0,0,0,"Háskólar"
"2014-2015","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Moodle Direct",17,63,101,95,4,65,11,6,4,5,0,5,0,0,0,5,0,0,0,0,0,"Háskólar"
