"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2019-2020","Fjölbrautaskólinn við Ármúla","Fjölbrautaskólinn við Ármúla","Framhaldsskólar",22,607,673,336,277,39,13,8,159,0,913,107,0,1,729,34,0,42,0,2
"2018-2019","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði","Framhaldsskólar",32,1049,1353,377,581,295,73,27,316,0,1450,200,0,28,1165,9,0,48,0,0
"2019-2020","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði","Framhaldsskólar",46,2044,2745,654,919,672,369,126,512,69,2844,321,0,1081,1117,254,0,71,0,0
"2018-2019","Framhaldsskólinn á Laugum","Framhaldsskólinn á Laugum","Framhaldsskólar",3,56,44,15,18,3,7,1,1,0,1,1,0,0,0,0,0,0,0,0
"2019-2020","Framhaldsskólinn á Laugum","Framhaldsskólinn á Laugum","Framhaldsskólar",9,461,659,209,299,61,46,42,25,0,576,1,0,3,534,13,0,25,0,0
"2017-2018","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólar",3,46,46,41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólar",44,2475,2665,1005,1147,309,91,113,523,23,6430,450,0,4446,1454,21,0,59,0,0
"2019-2020","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólar",32,3071,3071,540,1322,701,393,104,305,31,3703,253,17,2678,649,2,0,104,0,0
"2017-2018","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólar",3,43,65,6,5,15,16,23,28,0,87,27,0,0,60,0,0,0,0,0
"2018-2019","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólar",9,398,474,183,243,29,12,7,231,0,1632,224,0,2,1191,123,0,92,0,0
"2019-2020","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólar",11,279,279,17,176,63,10,7,85,2,455,20,0,31,183,121,0,100,0,0
"2018-2019","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","Framhaldsskólar",23,575,650,209,386,43,11,1,274,117,4846,191,0,1038,404,241,2865,102,5,0
"2019-2020","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","Framhaldsskólar",54,2473,2716,484,973,534,491,214,446,146,7443,272,1,2561,1310,138,3080,81,0,0
"2018-2019","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar","Framhaldsskólar",4,168,199,127,57,7,3,5,64,1,93,61,4,15,6,2,0,5,0,0
"2019-2020","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar","Framhaldsskólar",2,43,48,33,11,2,2,0,14,0,14,14,0,0,0,0,0,0,0,0
"2017-2018","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Framhaldsskólar",1,10,7,2,4,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0
"2018-2019","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Framhaldsskólar",13,844,1283,88,1056,90,19,30,303,21,7022,200,37,2107,2095,1394,0,1189,0,0
"2019-2020","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Framhaldsskólar",25,2459,4003,1396,2095,368,49,83,1202,154,16125,657,8,5352,4159,3828,0,2073,48,0
"2018-2019","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Framhaldsskólar",20,2422,2303,1091,927,194,55,36,1166,411,3398,442,7,1431,1352,0,0,166,0,0
"2019-2020","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Framhaldsskólar",17,841,804,234,418,93,26,30,193,24,567,156,1,133,276,0,0,1,0,0
"2017-2018","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Framhaldsskólar",5,180,159,124,28,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Framhaldsskólar",14,2621,5217,3226,1494,382,91,24,1503,0,21286,1304,0,6408,1913,6002,0,5659,0,0
"2019-2020","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Framhaldsskólar",3,58,69,38,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",4,137,135,46,73,9,1,6,65,17,909,57,0,208,324,193,0,127,0,0
"2015-2016","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",35,1800,1726,884,647,111,53,31,716,101,4050,299,0,1096,2502,48,0,105,0,0
"2016-2017","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",20,1349,1499,407,520,170,228,174,181,40,934,25,0,328,581,0,0,0,0,0
