"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2013-2014","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",3,89,57,0,35,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",4,129,125,1,80,32,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",4,136,106,0,91,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",11,633,848,30,692,83,5,38,2,0,2,0,0,1,1,0,0,0,0,0
"2017-2018","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",14,777,907,96,668,129,7,7,282,245,604,27,0,9,568,0,0,0,0,118
"2018-2019","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",20,1101,1213,65,682,340,20,106,94,24,2496,12,0,1645,166,0,0,5,668,0
"2019-2020","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",9,859,1098,92,708,169,38,13,43,29,159,29,0,7,121,2,0,0,0,79
"2011-2012","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",1,10,9,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",1,45,45,0,39,4,0,2,NA,NA,1,0,0,1,0,0,0,0,0,0
"2013-2014","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",2,74,74,1,68,5,0,0,NA,NA,1,0,0,0,1,0,0,0,0,0
"2014-2015","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",17,1179,1138,134,847,45,7,105,NA,NA,11,0,0,8,3,0,0,0,0,0
"2015-2016","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",28,2411,2114,87,1483,202,20,322,NA,NA,688,0,0,74,614,0,0,0,0,0
"2016-2017","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",41,3163,4179,183,3576,345,20,55,NA,NA,241,0,0,14,137,90,0,0,0,0
"2017-2018","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",37,2433,4941,278,4293,304,2,64,NA,NA,449,39,0,1,293,0,0,0,116,0
"2018-2019","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",42,2316,3532,201,2876,379,29,47,NA,NA,140,0,0,0,129,11,0,0,0,0
"2019-2020","Háskóli Íslands","Heilbrigðisvísindasvið","Háskólar",23,2384,3822,65,2782,900,47,19,NA,NA,1651,15,0,127,488,880,127,14,0,0
"2012-2013","Háskóli Íslands","Hugvísindasvið","Háskólar",4,100,100,7,82,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"2013-2014","Háskóli Íslands","Hugvísindasvið","Háskólar",8,211,211,21,160,16,5,9,1,0,1,0,0,0,1,0,0,0,0,0
"2014-2015","Háskóli Íslands","Hugvísindasvið","Háskólar",9,579,579,85,446,14,5,29,NA,NA,186,0,0,1,185,0,0,0,0,0
"2015-2016","Háskóli Íslands","Hugvísindasvið","Háskólar",15,347,313,14,276,11,1,11,NA,NA,410,57,0,154,189,10,0,0,0,0
"2016-2017","Háskóli Íslands","Hugvísindasvið","Háskólar",10,176,252,5,218,14,8,7,NA,NA,1,0,0,0,1,0,0,0,0,0
"2017-2018","Háskóli Íslands","Hugvísindasvið","Háskólar",9,308,356,21,285,44,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskóli Íslands","Hugvísindasvið","Háskólar",10,338,350,32,274,29,4,11,1,0,1,0,0,0,1,0,0,0,0,0
"2019-2020","Háskóli Íslands","Hugvísindasvið","Háskólar",6,219,278,22,205,27,6,18,1,1,29,0,0,9,20,0,0,0,0,0
"2012-2013","Háskólinn í Reykjavík","Íþróttafræði","Háskólar",1,63,63,2,56,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Íþróttafræði","Háskólar",2,87,87,1,79,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Íþróttafræði","Háskólar",2,107,107,0,103,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Íþróttafræði","Háskólar",5,296,267,13,242,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólinn í Reykjavík","Íþróttafræði","Háskólar",5,200,278,12,235,8,3,20,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskóli Íslands","Kennslumiðstöð","Háskólar",1,33,33,0,15,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskóli Íslands","Kennslumiðstöð","Háskólar",1,18,16,3,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Háskólar",1,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Háskólar",3,98,89,0,67,12,2,8,3,0,3,0,0,0,3,0,0,0,0,0
"2014-2015","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands","Háskólar",2,95,89,4,60,10,6,9,3,0,3,0,0,0,3,0,0,0,0,0
"2013-2014","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",1,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",2,60,60,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",3,42,30,0,29,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"2016-2017","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",3,152,156,1,129,2,5,19,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",3,115,126,2,123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",5,122,151,1,138,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Listaháskóli Íslands","Listaháskóli Íslands","Háskólar",2,100,151,0,145,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Lögfræði","Háskólar",3,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Lögfræði","Háskólar",1,33,33,0,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólinn í Reykjavík","Lögfræði","Háskólar",3,186,211,0,172,36,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskóli Íslands","Menntavísindasvið","Háskólar",1,13,13,0,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskóli Íslands","Menntavísindasvið","Háskólar",6,92,79,0,61,15,2,1,NA,NA,2,0,0,0,2,0,0,0,0,0
"2013-2014","Háskóli Íslands","Menntavísindasvið","Háskólar",12,489,486,2,364,89,10,21,NA,NA,6,0,0,0,6,0,0,0,0,0
"2014-2015","Háskóli Íslands","Menntavísindasvið","Háskólar",12,531,526,14,461,36,7,8,NA,NA,56,8,0,7,41,0,0,0,0,0
"2015-2016","Háskóli Íslands","Menntavísindasvið","Háskólar",7,418,370,5,315,38,5,7,NA,NA,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskóli Íslands","Menntavísindasvið","Háskólar",8,258,340,1,264,57,5,13,NA,NA,93,0,0,0,93,0,0,0,0,0
"2017-2018","Háskóli Íslands","Menntavísindasvið","Háskólar",8,403,565,2,454,91,5,13,NA,NA,354,0,0,0,2,0,0,0,352,0
"2018-2019","Háskóli Íslands","Menntavísindasvið","Háskólar",4,201,316,3,265,39,6,3,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólinn í Reykjavík","Sálfræði","Háskólar",1,98,98,0,56,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Sálfræði","Háskólar",5,229,207,1,142,56,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Sálfræði","Háskólar",4,284,284,7,160,108,3,6,NA,NA,1,0,0,0,1,0,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Sálfræði","Háskólar",9,980,977,37,594,246,53,47,NA,NA,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólinn í Reykjavík","Sálfræði","Háskólar",9,783,1088,26,642,366,46,8,143,72,3688,1,47,2694,78,0,92,81,695,0
"2019-2020","Háskólinn í Reykjavík","Sálfræði","Háskólar",1,27,53,2,42,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",1,13,13,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",2,150,150,8,115,19,6,2,1,0,10,0,0,8,0,2,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",3,111,111,3,69,17,10,12,69,0,1097,0,0,20,1036,41,0,0,0,101
"2015-2016","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",1,58,58,18,40,0,0,0,64,0,1034,0,0,32,1001,1,0,0,0,88
"2016-2017","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",2,67,69,0,42,13,5,9,1,0,1,0,0,0,1,0,0,0,0,0
"2017-2018","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",1,29,29,0,19,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólinn í Reykjavík","Tækni- og verkfræðideild","Háskólar",1,33,33,0,14,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskóli Íslands","Þverfræðilegt framhaldsnám","Háskólar",2,111,115,6,81,21,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskóli Íslands","Þverfræðilegt framhaldsnám","Háskólar",3,118,123,13,88,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskóli Íslands","Þverfræðilegt framhaldsnám","Háskólar",4,104,100,3,69,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskóli Íslands","Þverfræðilegt framhaldsnám","Háskólar",2,117,111,2,80,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólinn í Reykjavík","Tölvunarfræðideild","Háskólar",1,87,87,0,71,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Tölvunarfræðideild","Háskólar",1,54,54,0,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Tölvunarfræðideild","Háskólar",2,139,139,2,117,17,2,1,85,82,247,81,0,92,70,4,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Tölvunarfræðideild","Háskólar",1,686,686,60,412,192,20,2,717,609,1815,86,0,77,1645,7,0,0,0,237
"2016-2017","Háskólinn í Reykjavík","Tölvunarfræðideild","Háskólar",1,407,458,21,339,79,19,0,296,277,786,38,0,134,614,0,0,0,0,66
"2018-2019","University Centre of the Westfjords","University Centre of the Westfjords","Háskólar",8,141,241,2,187,44,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","University Centre of the Westfjords","University Centre of the Westfjords","Háskólar",2,31,31,0,22,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",1,54,53,0,28,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",1,13,13,0,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",2,55,55,0,43,1,2,9,12,12,247,5,0,35,207,0,0,0,0,0
"2014-2015","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",5,141,141,6,131,4,0,0,6,4,181,3,0,47,76,25,0,30,0,0
"2015-2016","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",7,271,271,30,225,12,3,1,NA,NA,122,10,0,13,61,38,0,0,0,0
"2016-2017","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",9,398,408,20,305,71,8,4,NA,NA,369,13,0,14,342,0,0,0,0,0
"2017-2018","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",10,317,448,10,396,38,3,1,NA,NA,48,0,0,0,38,0,0,10,0,0
"2018-2019","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",12,393,395,10,346,31,6,2,NA,NA,17,16,0,0,1,0,0,0,0,0
"2019-2020","Háskóli Íslands","Verkfræði- og náttúruvísindasvið","Háskólar",8,234,230,4,159,51,11,3,NA,NA,889,13,0,0,0,0,876,0,0,0
"2012-2013","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",3,70,70,1,43,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",9,193,193,6,140,35,4,8,3,0,5,0,0,3,2,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",6,309,281,31,175,57,5,13,2,0,3,0,0,1,2,0,0,0,0,0
"2015-2016","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",14,750,727,168,407,84,20,48,1,0,1,0,0,0,1,0,0,0,0,0
"2016-2017","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",13,725,854,73,647,105,20,9,2,0,3,0,0,2,1,0,0,0,0,0
"2017-2018","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",1,22,22,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólinn í Reykjavík","Viðskiptadeild","Háskólar",2,50,69,24,18,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0
