"Skolaar","Skolastig","Parent Account Name","Account Name","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created"
"2016-2017","Framhaldsskólar","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ",27,2389,2367,665,923,390,261,101,7542,295,0,260,4045,1031,1833,78,0,0
"2017-2018","Framhaldsskólar","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ",26,2108,2120,544,882,327,247,96,9291,247,0,1882,3884,265,2890,120,3,0
"2018-2019","Framhaldsskólar","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ",27,5855,6903,2284,3066,927,428,152,16981,651,0,3602,6895,2910,1428,1495,0,0
"2019-2020","Framhaldsskólar","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ",26,6951,7158,1679,3362,1073,622,318,20101,1065,31,2946,8451,2208,5206,194,0,9
"2017-2018","Framhaldsskólar","Fjölbrautaskólinn við Ármúla","Fjölbrautaskólinn við Ármúla",3,23,19,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Fjölbrautaskólinn við Ármúla","Fjölbrautaskólinn við Ármúla",10,455,517,103,358,43,11,2,375,41,0,18,282,3,0,31,0,1
"2019-2020","Framhaldsskólar","Fjölbrautaskólinn við Ármúla","Fjölbrautaskólinn við Ármúla",20,900,1002,393,493,78,26,10,1099,153,0,1,846,56,0,43,0,4
"2018-2019","Framhaldsskólar","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði",14,1085,1390,389,601,297,74,17,1475,211,0,38,1167,9,0,50,0,0
"2019-2020","Framhaldsskólar","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði",18,2011,2712,640,901,676,361,117,3027,330,0,1170,1200,256,0,71,0,0
"2018-2019","Framhaldsskólar","Framhaldsskólinn á Laugum","Framhaldsskólinn á Laugum",7,286,243,102,101,13,26,1,1,1,0,0,0,0,0,0,0,0
"2019-2020","Framhaldsskólar","Framhaldsskólinn á Laugum","Framhaldsskólinn á Laugum",11,2394,3464,1063,1585,344,238,198,1919,1,0,18,1710,77,0,113,0,0
"2017-2018","Framhaldsskólar","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ",3,21,66,47,18,1,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ",15,2261,2465,906,1082,284,84,66,6391,451,2,4446,1412,21,0,59,0,0
"2019-2020","Framhaldsskólar","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ",12,4077,4077,792,1762,894,490,119,6685,456,69,4738,1255,5,0,162,0,0
"2017-2018","Framhaldsskólar","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum",2,20,41,2,2,8,9,20,87,27,0,0,60,0,0,0,0,0
"2018-2019","Framhaldsskólar","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum",6,424,509,185,272,32,12,3,1632,224,0,2,1191,123,0,92,0,0
"2019-2020","Framhaldsskólar","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum",10,307,307,23,197,64,10,6,611,20,0,49,239,170,0,133,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Frumgreinar",1,13,13,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Frumgreinar",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskóli Íslands","Háskóli Íslands",2,40,36,6,21,1,0,3,2,0,0,1,1,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Háskóli Íslands",31,3060,2940,350,2276,236,29,29,1224,0,0,19,1189,16,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Háskóli Íslands",60,5437,5723,961,4101,462,100,51,3029,11,0,561,1063,0,0,26,1368,0
"2014-2015","Háskólar","Háskóli Íslands","Háskóli Íslands",71,8615,7818,2243,4682,345,269,161,1101,266,0,3,425,42,0,0,365,1
"2015-2016","Háskólar","Háskóli Íslands","Háskóli Íslands",105,10681,10239,1438,7389,827,122,180,19072,2282,22,4061,11634,608,0,40,425,0
"2016-2017","Háskólar","Háskóli Íslands","Háskóli Íslands",141,12890,17917,1191,14110,2022,167,262,58441,3245,5,14495,33887,729,0,258,5822,0
"2017-2018","Háskólar","Háskóli Íslands","Háskóli Íslands",127,10227,14664,1182,11294,1445,182,284,19213,1647,0,4369,11627,345,6,703,516,0
"2018-2019","Háskólar","Háskóli Íslands","Háskóli Íslands",303,107136,279704,45839,178126,33388,12135,6770,153642,6886,31,6721,27946,3117,100940,1463,6538,2466
"2019-2020","Háskólar","Háskóli Íslands","Háskóli Íslands",324,166456,436925,64374,263794,72829,14893,7982,471372,21952,53,35172,108972,13323,234616,9202,48082,3
"2011-2012","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",26,589,451,9,271,49,13,60,1413,38,0,552,529,146,0,148,0,0
"2013-2014","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",65,2553,2653,7,2402,124,17,47,98,0,0,0,98,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",67,5184,5019,339,3713,487,130,245,3622,947,0,431,2244,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",70,4760,4497,269,3482,442,61,192,6066,42,0,781,5218,25,0,0,0,0
"2016-2017","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",86,6374,9359,365,7088,1031,312,419,10027,1041,0,4022,4964,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",102,8577,12666,403,7386,1737,645,1953,5478,78,0,1835,3209,128,0,228,0,0
"2018-2019","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",123,11077,12988,771,8472,2414,786,313,22118,654,0,8562,10784,1027,0,587,504,1
"2019-2020","Háskólar","Háskólinn á Akureyri","Háskólinn á Akureyri",134,26405,53605,1827,30760,15268,4534,1098,26480,1252,0,8267,12964,1746,0,627,1624,0
"2011-2012","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",1,3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",5,327,334,21,260,17,11,8,23,0,0,4,19,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",2,51,51,0,31,13,3,2,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",6,163,167,7,138,13,2,2,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",3,80,81,21,21,9,14,15,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",3,57,57,4,45,6,1,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",2,37,37,0,34,2,1,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskólinn á Hólum","Háskólinn á Hólum",3,20,20,0,5,3,6,6,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",1,4,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",6,123,123,2,73,28,5,14,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",3,102,51,0,39,3,1,8,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",3,145,129,1,83,32,7,6,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",5,145,136,3,101,16,7,8,1,0,0,0,1,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",8,591,785,30,638,75,4,33,1,0,0,0,1,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",26,1068,1308,153,954,181,9,9,604,27,0,9,568,0,0,0,0,118
"2018-2019","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",36,3098,3980,123,1995,1702,42,16,7258,31,0,4747,465,0,0,11,2004,0
"2019-2020","Háskólar","Háskólinn í Reykjavík","Háskólinn í Reykjavík",15,1075,1379,97,945,201,42,19,159,29,0,7,121,2,0,0,0,79
"2011-2012","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",2,12,11,0,2,3,0,3,2,0,0,2,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",1,10,11,1,9,1,0,0,2,0,0,0,2,0,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",4,26,26,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",5,28,26,0,23,1,0,0,12,0,0,12,0,0,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",6,38,25,0,17,3,3,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",8,634,783,4,733,31,0,14,9,0,0,3,4,2,0,0,0,0
"2017-2018","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",9,79,96,11,61,15,2,7,75,0,0,0,75,0,0,0,0,0
"2018-2019","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",8,49,51,0,37,11,1,2,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskóli Íslands","Heilbrigðisvísindasvið",13,137,148,2,126,15,3,1,377,15,0,33,172,30,127,0,0,0
