"Skolaar","Skolastig","Parent Account Name","Account Name","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created"
"2018-2019","Framhaldsskólar","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði",7,2466,2347,1116,954,191,55,28,3406,445,7,1439,1349,0,0,166,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði",11,889,852,239,453,101,26,27,571,157,1,133,279,0,0,1,0,0
"2017-2018","Framhaldsskólar","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga",8,1496,1352,1016,280,32,24,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga",13,16950,37548,23654,10377,2712,625,111,140336,8575,0,36673,11553,43192,0,40343,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga",11,629,747,433,221,93,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",5,148,146,56,75,9,1,4,1047,57,0,208,426,193,0,163,0,0
"2015-2016","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",12,1727,1663,829,640,110,55,21,4211,310,0,1126,2610,60,0,105,0,0
"2016-2017","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",9,1543,1777,522,611,201,251,185,962,25,0,328,609,0,0,0,0,0
"2017-2018","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",10,1392,1239,341,691,107,58,38,6236,106,0,1181,2674,1727,0,548,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",12,2683,2372,709,1406,146,35,19,15091,559,0,1482,8937,2620,0,1493,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni",15,3179,3125,630,1809,327,218,99,16008,1184,0,2956,9447,785,0,1636,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi",42,3118,4106,1077,2049,599,239,94,2401,148,0,1132,690,396,0,35,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi",15,1424,1745,519,588,353,195,57,557,230,0,16,302,0,0,9,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík",6,269,305,173,123,4,3,2,0,0,0,0,0,0,0,0,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík",8,643,721,242,400,42,28,7,168,53,0,0,112,0,0,3,0,0
"2017-2018","Framhaldsskólar","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð",29,1793,1989,565,1271,111,21,11,7911,258,0,3402,1769,287,1817,355,23,1
"2019-2020","Framhaldsskólar","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð",43,5343,5629,1239,2575,758,850,171,29451,1749,13,7293,4156,2555,11404,1399,882,0
"2017-2018","Framhaldsskólar","Menntaskólinn við Sund","Menntaskólinn við Sund",3,265,265,57,148,31,10,11,51,7,0,0,44,0,0,0,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn við Sund","Menntaskólinn við Sund",20,1917,2667,751,1357,339,73,92,7853,496,0,2800,1423,1711,797,626,0,1
"2019-2020","Framhaldsskólar","Menntaskólinn við Sund","Menntaskólinn við Sund",21,3258,5256,771,2664,1047,396,293,6074,575,0,2052,1804,1441,0,154,48,0
"2011-2012","Háskólar","Háskóli Íslands","Menntavísindasvið",2,7,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Menntavísindasvið",8,60,59,3,43,9,2,1,3,0,0,0,3,0,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Menntavísindasvið",14,259,256,5,164,69,8,5,28,0,0,5,4,19,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Menntavísindasvið",17,311,309,13,245,33,2,4,53,7,0,5,41,0,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Menntavísindasvið",12,98,86,7,64,9,2,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Menntavísindasvið",11,83,136,4,74,26,6,23,1,0,0,0,1,0,0,0,0,0
"2017-2018","Háskólar","Háskóli Íslands","Menntavísindasvið",8,412,576,3,462,92,6,9,355,0,0,0,3,0,0,0,352,0
"2018-2019","Háskólar","Háskóli Íslands","Menntavísindasvið",9,209,324,4,270,40,7,2,5,0,0,0,0,0,0,0,5,0
"2019-2020","Háskólar","Háskóli Íslands","Menntavísindasvið",3,10,10,0,9,0,0,0,4,0,0,2,2,0,0,0,0,0
"2018-2019","Annað","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum",2,6,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Annað","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum",2,447,311,36,187,62,14,9,246,243,0,0,2,1,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Rannsóknasetur HÍ",1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Rannsóknasetur HÍ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Sálfræði",11,484,495,16,373,87,2,9,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn í Reykjavík","Sálfræði",9,751,1070,26,620,367,46,7,3688,1,47,2694,78,0,92,81,695,0
"2017-2018","Háskólar","Háskólinn í Reykjavík","Sálfræði",1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskólinn í Reykjavík","Sálfræði",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskólinn í Reykjavík","Sálfræði",1,26,51,2,42,4,0,1,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Sérsafn",1,8,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Sérsafn",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",1,12,12,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",1,68,68,3,56,7,2,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",3,80,80,2,54,12,2,8,1097,0,0,20,1036,41,0,0,0,101
"2015-2016","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",2,78,78,21,50,5,2,0,1034,0,0,32,1001,1,0,0,0,88
"2016-2017","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",2,71,73,0,44,15,5,7,1,0,0,0,1,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",1,30,30,0,20,6,3,1,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",1,33,33,0,14,8,9,2,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskólinn í Reykjavík","Tækni- og verkfræðideild",1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Tækniskólinn","Tækniskólinn",5,233,359,115,199,32,5,8,3391,220,0,182,182,4,2790,13,0,0
"2019-2020","Framhaldsskólar","Tækniskólinn","Tækniskólinn",2,79,149,32,76,25,10,5,1272,94,0,16,37,3,1116,6,0,0
"2015-2016","Háskólar","Háskóli Íslands","Þverfræðilegt framhaldsnám",1,6,6,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Þverfræðilegt framhaldsnám",2,100,104,6,72,19,4,3,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólar","Háskóli Íslands","Þverfræðilegt framhaldsnám",2,110,115,10,85,14,4,2,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskóli Íslands","Þverfræðilegt framhaldsnám",3,105,101,3,69,23,5,1,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskóli Íslands","Þverfræðilegt framhaldsnám",1,108,102,2,72,22,0,6,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskólinn í Reykjavík","Tölvunarfræðideild",1,87,87,0,71,14,2,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn í Reykjavík","Tölvunarfræðideild",1,54,54,0,47,7,0,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Tölvunarfræðideild",1,85,85,0,77,5,2,1,247,81,0,92,70,4,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Tölvunarfræðideild",1,686,686,60,412,192,20,0,1815,86,0,77,1645,7,0,0,0,237
"2016-2017","Háskólar","Háskólinn í Reykjavík","Tölvunarfræðideild",1,408,459,21,339,79,20,0,786,38,0,134,614,0,0,0,0,66
"2018-2019","Háskólar","University Centre of the Westfjords","University Centre of the Westfjords",1,114,223,2,174,39,4,4,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","University Centre of the Westfjords","University Centre of the Westfjords",1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskóli Íslands","Verkefnisstjórn Uglu",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",1,45,45,0,27,17,1,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",3,20,20,0,6,4,5,5,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",7,67,67,0,52,3,3,3,250,5,0,38,207,0,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",9,91,90,6,73,8,2,1,179,3,0,46,75,25,0,30,0,0
"2015-2016","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",10,232,228,31,178,13,3,3,178,11,0,12,117,38,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",6,294,305,18,213,65,8,1,369,13,0,14,342,0,0,0,0,0
"2017-2018","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",10,246,374,11,319,38,3,1,74,0,0,0,62,0,0,12,0,0
"2018-2019","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",9,235,238,11,181,34,11,1,17,16,0,0,1,0,0,0,0,0
"2019-2020","Háskólar","Háskóli Íslands","Verkfræði- og náttúruvísindasvið",15,221,221,5,135,62,13,3,889,13,0,0,0,0,876,0,0,0
"2017-2018","Framhaldsskólar","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands",3,37,37,2,15,17,3,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands",36,3085,2568,594,1270,408,221,63,8581,632,16,1257,4777,618,0,707,574,0
"2019-2020","Framhaldsskólar","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands",27,1549,1452,360,713,199,142,33,3716,493,0,427,1574,791,0,431,0,6
"2017-2018","Framhaldsskólar","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri",6,291,324,32,250,15,4,14,767,13,1,56,662,3,0,32,0,2
"2018-2019","Framhaldsskólar","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri",18,1540,1780,263,988,321,157,34,15947,48,0,11214,4285,360,0,22,18,0
"2019-2020","Framhaldsskólar","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri",26,4423,5039,392,1516,793,1003,1186,17258,136,0,11473,3244,2000,0,405,0,0
"2012-2013","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",26,1619,1656,538,876,158,39,17,13536,159,1,3888,952,8534,0,2,0,0
"2013-2014","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",32,11883,11906,7783,3375,313,138,216,36409,1103,0,13488,5284,16534,0,0,0,0
"2014-2015","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",34,7728,7720,4103,2877,375,97,210,31485,846,0,11416,4515,14708,0,0,0,0
"2015-2016","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",38,6932,6944,3224,3304,230,72,74,15782,514,0,6539,2333,6396,0,0,0,0
"2016-2017","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",35,13129,13563,7638,5223,278,62,188,20965,758,0,4692,1426,14089,0,0,0,0
"2017-2018","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",34,4336,6124,1896,3740,238,52,163,6279,380,0,2624,106,2898,0,271,0,0
"2018-2019","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",31,3729,4759,1943,2441,191,53,93,1844,181,0,774,246,598,0,45,0,0
"2019-2020","Framhaldsskólar","Verzlunarskóli Íslands","Verzlunarskóli Íslands",44,6871,8079,2099,4309,941,462,213,3597,431,0,1200,427,1502,0,37,0,0
"2012-2013","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",5,66,67,0,46,18,2,1,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",9,134,131,4,94,20,4,3,11,0,0,3,3,0,0,0,5,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",7,310,283,42,177,42,6,11,3,0,0,1,2,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",10,724,707,159,402,86,16,11,5,0,0,5,0,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",11,718,872,54,690,105,11,12,3,0,0,2,1,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",8,30,41,0,31,5,2,1,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",3,59,77,22,24,3,6,9,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Háskólinn í Reykjavík","Viðskiptadeild",1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
